#-----------------------------------------------------------------------------
# Date d'extraction : 31/08/2021 - 07h56 loc.
#-----------------------------------------------------------------------------
# Producteur : DSM
# Experience : IFM2009
# Modele     : ARPEGE_V4_CNRM (SST_CNRM)
# Scenario :
#     A1B : Sc�nario interm�diaire
#-----------------------------------------------------------------------------
# Horizons :
#     H1 : Horizon proche
#     H2 : Horizon moyen
#     H3 : Horizon lointain
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     NORIFM : Indicateur feux de for�t
#     NORIFM20 : Indicateur feux de for�t nbj sup � 20
#     NORIFM40 : Indicateur feux de for�t nbj sup � 40
#     NORIFM60 : Indicateur feux de for�t nbj sup � 60
#-----------------------------------------------------------------------------
# Format des enregistrements 
Point;Latitude;Longitude;Contexte;P�riode;NORIFM;NORIFM20;NORIFM40;NORIFM60;
2644;42.8519;2.5807;A1B;H1;8.77;54.05;9.5;1.55;
2645;42.8516;2.6784;A1B;H1;9.9;64.45;12.65;2.95;
2646;42.8513;2.776;A1B;H1;17.09;113.15;35.35;12.35;
2647;42.8508;2.8737;A1B;H1;19.79;138.2;47.1;19.4;
2648;42.8503;2.9714;A1B;H1;25.28;177.7;69.95;33.05;
2711;42.637;9.1072;A1B;H1;12.43;76.35;19.95;5.55;
2712;42.6308;9.2042;A1B;H1;10.06;57.55;7.6;1.65;
2713;42.6245;9.3011;A1B;H1;11.07;69.1;7.6;1.5;
2714;42.6181;9.398;A1B;H1;8.83;47.25;4.2;0.25;
2754;42.8824;-0.6444;A1B;H1;1.98;2.2;0.15;0;
2755;42.8851;-0.5467;A1B;H1;2;2.4;0.25;0;
2756;42.8877;-0.4491;A1B;H1;1.93;2;0.1;0;
2757;42.8902;-0.3514;A1B;H1;2.11;1.6;0.1;0;
2758;42.8926;-0.2537;A1B;H1;1.99;1.7;0.15;0;
2759;42.895;-0.156;A1B;H1;2.44;3.95;0.05;0;
2760;42.8972;-0.0584;A1B;H1;2.73;5.75;0.55;0;
2761;42.8993;0.0393;A1B;H1;2.42;3.75;0.05;0;
2762;42.9014;0.137;A1B;H1;2.52;3.05;0.05;0;
2763;42.9034;0.2348;A1B;H1;2.45;4.2;0.2;0;
2764;42.9052;0.3325;A1B;H1;3.28;9;0.35;0;
2765;42.907;0.4302;A1B;H1;2.79;4.9;0.1;0;
2766;42.9087;0.5279;A1B;H1;3.15;6.45;0.15;0;
2767;42.9103;0.6257;A1B;H1;3.57;7.95;0.4;0.05;
2768;42.9118;0.7234;A1B;H1;2.82;6.45;0.4;0.1;
2769;42.9133;0.8211;A1B;H1;2.84;6.55;0.4;0.1;
2770;42.9146;0.9189;A1B;H1;2.69;4.9;0.1;0;
2771;42.9159;1.0166;A1B;H1;3.25;7.7;0.75;0.05;
2772;42.917;1.1144;A1B;H1;2.95;6.5;0.65;0;
2773;42.9181;1.2122;A1B;H1;3.22;7.55;0.75;0.05;
2774;42.9191;1.3099;A1B;H1;2.83;6.35;0.5;0;
2775;42.92;1.4077;A1B;H1;2.66;5.4;0.4;0;
2776;42.9208;1.5055;A1B;H1;3.44;7.85;0.75;0;
2777;42.9215;1.6032;A1B;H1;3.92;9.9;0.75;0.05;
2778;42.9221;1.701;A1B;H1;3.66;6.9;0.85;0.2;
2779;42.9227;1.7988;A1B;H1;4.75;16;1.25;0;
2780;42.9231;1.8966;A1B;H1;5.11;18.5;1.25;0.15;
2781;42.9235;1.9943;A1B;H1;5.91;28.35;2.25;0.3;
2782;42.9237;2.0921;A1B;H1;5.99;29.25;2.5;0.3;
2783;42.9239;2.1899;A1B;H1;7.05;39.3;4.75;0.45;
2784;42.924;2.2877;A1B;H1;6.77;35.95;4.05;0.35;
2785;42.924;2.3855;A1B;H1;5.87;26.6;2.5;0.05;
2786;42.9239;2.4833;A1B;H1;7.47;42.1;5.15;0.35;
2787;42.9237;2.581;A1B;H1;8.13;47.9;7.5;0.75;
2788;42.9235;2.6788;A1B;H1;9.02;57.4;11.25;1.15;
2789;42.9231;2.7766;A1B;H1;13.53;88.25;24.85;6.4;
2790;42.9227;2.8744;A1B;H1;12.97;83.75;22.7;5.35;
2791;42.9221;2.9722;A1B;H1;16.68;110.55;38.15;12.45;
2854;42.7086;9.1156;A1B;H1;13.12;86.6;19.05;4.3;
2855;42.7023;9.2127;A1B;H1;11.5;74.8;7.3;1.4;
2856;42.696;9.3097;A1B;H1;11.03;68.35;7.65;1.5;
2857;42.6896;9.4067;A1B;H1;8.34;42.45;4.25;0.2;
2895;42.9486;-0.8436;A1B;H1;1.8;1.5;0;0;
2896;42.9515;-0.7458;A1B;H1;1.82;1.25;0;0;
2897;42.9543;-0.6481;A1B;H1;2.29;3.5;0.3;0;
2898;42.9569;-0.5503;A1B;H1;2.12;2.95;0.3;0;
2899;42.9595;-0.4525;A1B;H1;2.58;7.7;1;0;
2900;42.962;-0.3547;A1B;H1;2.39;7.05;0.5;0;
2901;42.9645;-0.2569;A1B;H1;2.77;5.95;0.65;0;
2902;42.9668;-0.1591;A1B;H1;3.02;7.4;0.8;0;
2903;42.969;-0.0613;A1B;H1;3.45;9.05;0.95;0;
2904;42.9712;0.0365;A1B;H1;2.57;4.9;0.5;0;
2905;42.9732;0.1343;A1B;H1;2.65;5.25;0.35;0;
2906;42.9752;0.2321;A1B;H1;2.89;6.6;0.5;0;
2907;42.9771;0.33;A1B;H1;2.64;5.55;0.75;0;
2908;42.9789;0.4278;A1B;H1;2.99;6;0.4;0.05;
2909;42.9806;0.5257;A1B;H1;3.2;6.95;0.5;0.1;
2910;42.9822;0.6235;A1B;H1;3.79;9.95;0.6;0.1;
