#-----------------------------------------------------------------------------
# Date d'extraction : 31/08/2021 - 08h09 loc.
#-----------------------------------------------------------------------------
# Producteur : DSM
# Experience : IFM2009
# Modele     : ARPEGE_V4_CNRM (SST_CNRM)
# Scenario :
#     REF : r�f�rence
#-----------------------------------------------------------------------------
# Horizons :
#     REF : R�f�rence
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     NORIFM : Indicateur feux de for�t
#     NORIFM20 : Indicateur feux de for�t nbj sup � 20
#     NORIFM40 : Indicateur feux de for�t nbj sup � 40
#     NORIFM60 : Indicateur feux de for�t nbj sup � 60
#-----------------------------------------------------------------------------
# Format des enregistrements 
Point;Latitude;Longitude;Contexte;P�riode;NORIFM;NORIFM20;NORIFM40;NORIFM60;
2493;42.779;1.8001;REF;REF;3.25;5.4;0.1;0;
2494;42.7794;1.8977;REF;REF;3.27;5.4;0.05;0;
2495;42.7798;1.9952;REF;REF;3.57;4.95;0.05;0;
2496;42.78;2.0927;REF;REF;3.95;7.65;0.15;0;
2497;42.7802;2.1903;REF;REF;4.53;13.15;0.35;0;
2498;42.7803;2.2878;REF;REF;4.43;12.25;0.35;0;
2499;42.7803;2.3854;REF;REF;8.07;46.25;1.6;0;
2500;42.7802;2.4829;REF;REF;10.6;71.75;9.25;0.45;
2501;42.78;2.5804;REF;REF;11.91;83.25;14.85;1.3;
2502;42.7798;2.678;REF;REF;12.82;91.35;18.2;1.95;
2503;42.7794;2.7755;REF;REF;16.73;121.5;34.15;7.6;
2504;42.779;2.873;REF;REF;19.32;141.6;47.6;12.95;
2505;42.7784;2.9706;REF;REF;19.84;145.1;50.8;14.6;
2565;42.5835;8.8083;REF;REF;12.81;89.2;18.2;4.6;
2566;42.5776;8.9052;REF;REF;12.83;89.55;19.6;5.5;
2567;42.5716;9.002;REF;REF;12.19;86.55;20.35;3.25;
2568;42.5654;9.0989;REF;REF;12.36;87.55;19.5;3.85;
2569;42.5592;9.1957;REF;REF;7.16;43.4;2.25;0.15;
2570;42.5529;9.2925;REF;REF;12.18;82.95;27.65;4.35;
2571;42.5465;9.3892;REF;REF;9.65;67.9;4.85;0.55;
2572;42.54;9.486;REF;REF;10.8;75.7;5.95;1.1;
2612;42.8133;-0.5431;REF;REF;1.89;0.6;0;0;
2613;42.8159;-0.4456;REF;REF;1.9;0.3;0;0;
2614;42.8184;-0.3481;REF;REF;2.08;0.15;0;0;
2615;42.8208;-0.2505;REF;REF;2.56;0.7;0.05;0;
2616;42.8231;-0.1529;REF;REF;2.12;0.45;0;0;
2617;42.8254;-0.0554;REF;REF;2.11;0.4;0;0;
2618;42.8275;0.0422;REF;REF;2.06;0.7;0;0;
2619;42.8296;0.1398;REF;REF;2.62;1.05;0.1;0;
2620;42.8315;0.2374;REF;REF;2.19;0.5;0;0;
2621;42.8334;0.335;REF;REF;3.83;6.7;0.05;0;
2622;42.8352;0.4326;REF;REF;2.96;2.5;0.1;0;
2623;42.8369;0.5302;REF;REF;2.51;1.45;0;0;
2624;42.8385;0.6278;REF;REF;3.26;4.05;0;0;
2626;42.8414;0.823;REF;REF;2.36;1;0;0;
2627;42.8428;0.9206;REF;REF;2.27;1.15;0;0;
2628;42.844;1.0183;REF;REF;2.48;1.55;0;0;
2629;42.8452;1.1159;REF;REF;2.29;1.25;0;0;
2630;42.8463;1.2136;REF;REF;2.89;2.45;0.05;0;
2631;42.8472;1.3112;REF;REF;2.62;1.9;0;0;
2632;42.8481;1.4088;REF;REF;2.3;1.25;0;0;
2633;42.8489;1.5065;REF;REF;3.57;5.4;0;0;
2634;42.8497;1.6041;REF;REF;3.78;6.4;0.05;0;
2635;42.8503;1.7018;REF;REF;3.4;5.7;0.05;0;
2636;42.8508;1.7995;REF;REF;3.59;6.85;0.05;0;
2637;42.8513;1.8971;REF;REF;3.52;4.4;0;0;
2638;42.8516;1.9948;REF;REF;4.08;9.4;0.2;0;
2639;42.8519;2.0924;REF;REF;4.27;11.1;0.35;0;
2640;42.8521;2.1901;REF;REF;6.52;32.65;2.35;0.15;
2641;42.8522;2.2877;REF;REF;5.27;20.15;0.75;0;
2642;42.8522;2.3854;REF;REF;6.88;39.2;2.8;0.05;
2643;42.8521;2.4831;REF;REF;8.27;52.85;7.2;0.5;
2644;42.8519;2.5807;REF;REF;9.48;63;11.5;1;
2645;42.8516;2.6784;REF;REF;10.8;73.75;17.25;2.8;
2646;42.8513;2.776;REF;REF;15;108.75;26.15;5;
2647;42.8508;2.8737;REF;REF;16.47;119.75;32.75;7.35;
2648;42.8503;2.9714;REF;REF;19.23;141;47;12.7;
2711;42.637;9.1072;REF;REF;12.87;90.6;20.6;5.95;
2712;42.6308;9.2042;REF;REF;12.1;86.8;19.45;2.3;
2713;42.6245;9.3011;REF;REF;11.48;81.7;11.05;1.9;
2714;42.6181;9.398;REF;REF;10.41;71.45;9.3;1.4;
2754;42.8824;-0.6444;REF;REF;1.88;0.8;0.05;0;
2755;42.8851;-0.5467;REF;REF;1.92;1;0.05;0;
2756;42.8877;-0.4491;REF;REF;1.84;0.6;0;0;
2757;42.8902;-0.3514;REF;REF;1.96;0.25;0;0;
2758;42.8926;-0.2537;REF;REF;2.03;0.55;0.05;0;
2759;42.895;-0.156;REF;REF;2.09;0.8;0;0;
2760;42.8972;-0.0584;REF;REF;2.52;1.95;0;0;
2761;42.8993;0.0393;REF;REF;2.06;0.8;0;0;
2762;42.9014;0.137;REF;REF;2.23;0.5;0;0;
2763;42.9034;0.2348;REF;REF;2.09;0.8;0;0;
2764;42.9052;0.3325;REF;REF;3.79;6.4;0.05;0;
2765;42.907;0.4302;REF;REF;3.12;3.45;0.05;0;
2766;42.9087;0.5279;REF;REF;3.84;6.75;0.05;0;
2767;42.9103;0.6257;REF;REF;3.65;6.15;0.15;0;
2768;42.9118;0.7234;REF;REF;3.67;6.35;0.15;0;
2769;42.9133;0.8211;REF;REF;3.69;6.45;0.15;0;
2770;42.9146;0.9189;REF;REF;2.65;1.9;0;0;
2771;42.9159;1.0166;REF;REF;2.91;2.55;0.05;0;
2772;42.917;1.1144;REF;REF;2.73;1.95;0.05;0;
2773;42.9181;1.2122;REF;REF;2.88;2.45;0.05;0;
2774;42.9191;1.3099;REF;REF;2.65;1.9;0;0;
2775;42.92;1.4077;REF;REF;2.55;1.75;0;0;
2776;42.9208;1.5055;REF;REF;3.08;3.55;0;0;
2777;42.9215;1.6032;REF;REF;3.62;7.2;0.25;0;
2778;42.9221;1.701;REF;REF;3.64;7.3;0.25;0;
2779;42.9227;1.7988;REF;REF;4.51;13.2;0.85;0.05;
2780;42.9231;1.8966;REF;REF;4.89;16.95;1.35;0.05;
2781;42.9235;1.9943;REF;REF;6.19;28.9;1.8;0.15;
2782;42.9237;2.0921;REF;REF;6.3;30.05;1.9;0.15;
2783;42.9239;2.1899;REF;REF;7.67;43.95;5.05;0.5;
2784;42.924;2.2877;REF;REF;7.31;40;3.95;0.35;
2785;42.924;2.3855;REF;REF;5.9;26.25;1.35;0.15;
2786;42.9239;2.4833;REF;REF;7.94;49.9;5.9;0.4;
2787;42.9237;2.581;REF;REF;8.75;57.4;9.05;0.75;
2788;42.9235;2.6788;REF;REF;9.63;64.05;12.25;1.2;
2789;42.9231;2.7766;REF;REF;13.7;96.95;23.6;4.1;
2790;42.9227;2.8744;REF;REF;13.12;92.3;20.95;2.8;
2791;42.9221;2.9722;REF;REF;16.53;118.15;36.65;10.65;
2854;42.7086;9.1156;REF;REF;12.81;89.05;18.15;4.4;
2855;42.7023;9.2127;REF;REF;11.41;80.95;10.35;1.85;
2856;42.696;9.3097;REF;REF;11.48;82;11.15;1.75;
2857;42.6896;9.4067;REF;REF;10.36;71.1;10.25;1.5;
2895;42.9486;-0.8436;REF;REF;1.77;1.8;0.15;0;
2896;42.9515;-0.7458;REF;REF;1.81;1.85;0.2;0;
2897;42.9543;-0.6481;REF;REF;2.25;1.9;0;0;
2898;42.9569;-0.5503;REF;REF;2.04;1.3;0.05;0;
2899;42.9595;-0.4525;REF;REF;2.04;1.3;0.05;0;
2900;42.962;-0.3547;REF;REF;1.9;0.95;0.05;0;
2901;42.9645;-0.2569;REF;REF;2.58;2.35;0;0;
2902;42.9668;-0.1591;REF;REF;2.97;3.9;0.05;0;
2903;42.969;-0.0613;REF;REF;3.52;6.25;0.1;0;
2904;42.9712;0.0365;REF;REF;2.2;1;0;0;
2905;42.9732;0.1343;REF;REF;2.38;1.4;0;0;
2906;42.9752;0.2321;REF;REF;2.79;3.3;0.05;0;
2907;42.9771;0.33;REF;REF;2.26;1.55;0;0;
2908;42.9789;0.4278;REF;REF;3.62;5.9;0.05;0;
2909;42.9806;0.5257;REF;REF;3.91;7.4;0.1;0;
2910;42.9822;0.6235;REF;REF;4.27;8.8;0.55;0;
2911;42.9837;0.7214;REF;REF;3.98;8.35;0.4;0;
2912;42.9851;0.8192;REF;REF;4.47;12.1;0.6;0;
2913;42.9865;0.9171;REF;REF;4.73;14.45;0.8;0.05;
2914;42.9877;1.015;REF;REF;3.37;4.75;0.25;0;
2915;42.9889;1.1129;REF;REF;3.8;7.1;0.35;0;
2916;42.99;1.2108;REF;REF;3.69;6.25;0.35;0;
2917;42.9909;1.3086;REF;REF;3.64;6.05;0.35;0;
2918;42.9918;1.4065;REF;REF;3.64;6.05;0.35;0;
2919;42.9927;1.5044;REF;REF;3.92;9.2;0.5;0.05;
2920;42.9934;1.6023;REF;REF;4.42;12.7;0.6;0.05;
2921;42.994;1.7002;REF;REF;4.12;10.6;0.6;0.05;
2922;42.9945;1.7981;REF;REF;5.48;21.55;2.1;0.1;
2923;42.995;1.896;REF;REF;5.61;22.7;2.3;0.1;
2924;42.9953;1.9939;REF;REF;6.86;35.8;3;0.15;
2925;42.9956;2.0918;REF;REF;6.62;33.5;2.45;0.15;
2926;42.9958;2.1897;REF;REF;7.52;42.25;4.5;0.45;
2927;42.9959;2.2876;REF;REF;6.78;35.2;2.85;0.15;
2928;42.9959;2.3855;REF;REF;5.41;21;0.85;0.05;
2929;42.9958;2.4834;REF;REF;8.71;57.15;8.8;0.75;
2930;42.9956;2.5813;REF;REF;10.11;68;14.1;1.9;
2931;42.9953;2.6792;REF;REF;10.59;71.25;16.05;2.45;
2932;42.995;2.7771;REF;REF;14.39;102.45;26.15;5.35;
2933;42.9945;2.875;REF;REF;14.68;104.75;26.95;5.75;
2934;42.994;2.9729;REF;REF;16.61;118.3;37.1;10.75;
2999;42.7676;9.3183;REF;REF;12.59;89;25.85;3.15;
3000;42.7612;9.4155;REF;REF;10.37;71.65;13.45;1.15;
3033;43.0047;-1.3367;REF;REF;1.94;1.55;0.05;0;
