years,ssp119,ssp126,ssp585
1986.0,20698050.666167606,20698050.666167606,20698050.666167606
1987.0,21346289.31293918,21346289.31293918,21346289.31293918
1988.0,22049798.01960561,22049798.01960561,22049798.01960561
1989.0,22432181.17398979,22432181.17398979,22432181.17398979
1990.0,21962588.997072402,21962588.997072402,21962588.997072402
1991.0,22014912.694825564,22014912.694825564,22014912.694825564
1992.0,21871446.264728907,21871446.264728907,21871446.264728907
1993.0,21984253.743891757,21984253.743891757,21984253.743891757
1994.0,22157011.29650029,22157011.29650029,22157011.29650029
1995.0,22682557.95977107,22682557.95977107,22682557.95977107
1996.0,23191481.049390666,23191481.049390666,23191481.049390666
1997.0,23569613.198422052,23569613.198422052,23569613.198422052
1998.0,23685907.462832782,23685907.462832782,23685907.462832782
1999.0,23897877.087335777,23897877.087335777,23897877.087335777
2000.0,24692360.73292969,24692360.73292969,24692360.73292969
2001.0,24932846.467099335,24932846.467099335,24932846.467099335
2002.0,25372394.308490682,25372394.308490682,25372394.308490682
2003.0,26576501.326848745,26576501.326848745,26576501.326848745
2004.0,27893938.510335788,27893938.510335788,27893938.510335788
2005.0,28839625.4045793,28839625.4045793,28839625.4045793
2006.0,29865704.748296957,29865704.748296957,29865704.748296957
2007.0,30994763.44404692,30994763.44404692,30994763.44404692
2008.0,31259789.49386122,31259789.49386122,31259789.49386122
2009.0,30678356.81756856,30678356.81756856,30678356.81756856
2010.0,32391298.96568169,32391298.96568169,32391298.96568169
2011.0,33302526.602014087,33302526.602014087,33302526.602014087
2012.0,33633240.1649107,33633240.1649107,33633240.1649107
2013.0,34253179.580710664,34253179.580710664,34253179.580710664
2014.0,34449147.429454386,34449147.429454386,34449147.429454386
2015.0,39152726.2983861,39152726.2983861,39152726.2983861
2020.0,39693726.451687396,39804013.4329135,43712348.564522006
2030.0,22847270.9173938,34734423.6538734,55296583.2256573
2040.0,10475088.8193786,26509182.688349,68775698.2044147
2050.0,2050361.55775863,17963539.1054858,83298219.94213429
2060.0,-1525978.31742005,10527978.660350999,100338606.181868
2070.0,-4476970.149421349,4476328.32268894,116805249.302523
2080.0,-7308782.578870091,-3285043.2711175103,129647035.019421
2090.0,-10565022.8295996,-8385182.965290481,130576238.81942101
2100.0,-13889787.5467543,-8617786.21970578,126287309.719421
