#-----------------------------------------------------------------------------
# Date d'extraction : 01/09/2021 - 16h09 loc.
#-----------------------------------------------------------------------------
# Producteur : DCLIM
# Experience : CLIMSEC
# Modele     : ARPEGE_RETIC
# Scenario :
#     B1 : scenario optimiste
#-----------------------------------------------------------------------------
# Horizons :
#     H1 : Horizon proche
#     H2 : Horizon moyen
#     H3 : Horizon lointain
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     NORSPI : Indicateur s�cheresse m�t�orologique
#-----------------------------------------------------------------------------
# Format des enregistrements 
Point;Latitude;Longitude;Contexte;P�riode;NORSPI;
2927;42.9959;2.2876;B1;H1;-0.46;
2928;42.9959;2.3855;B1;H1;-0.46;
2929;42.9958;2.4834;B1;H1;-0.67;
2930;42.9956;2.5813;B1;H1;-0.67;
2931;42.9953;2.6792;B1;H1;-0.67;
2932;42.995;2.7771;B1;H1;-0.95;
2933;42.9945;2.875;B1;H1;-0.95;
2934;42.994;2.9729;B1;H1;-0.96;
2999;42.7676;9.3183;B1;H1;-0.17;
3000;42.7612;9.4155;B1;H1;-0.17;
3033;43.0047;-1.3367;B1;H1;-0.49;
3036;43.0144;-1.0433;B1;H1;-0.48;
3037;43.0175;-0.9454;B1;H1;-0.48;
3038;43.0204;-0.8475;B1;H1;-0.48;
3039;43.0233;-0.7497;B1;H1;-0.49;
3040;43.0261;-0.6518;B1;H1;-0.38;
3041;43.0288;-0.5539;B1;H1;-0.37;
3042;43.0313;-0.456;B1;H1;-0.38;
3043;43.0339;-0.3581;B1;H1;-0.38;
3044;43.0363;-0.2602;B1;H1;-0.25;
3045;43.0386;-0.1623;B1;H1;-0.22;
3046;43.0408;-0.0643;B1;H1;-0.41;
3047;43.043;0.0336;B1;H1;-0.42;
3048;43.0451;0.1316;B1;H1;-0.42;
3049;43.047;0.2295;B1;H1;-0.41;
3050;43.0489;0.3275;B1;H1;-0.41;
3051;43.0507;0.4254;B1;H1;-0.26;
3052;43.0524;0.5234;B1;H1;-0.26;
3053;43.054;0.6214;B1;H1;-0.32;
3054;43.0555;0.7194;B1;H1;-0.31;
3055;43.057;0.8174;B1;H1;-0.31;
3056;43.0583;0.9153;B1;H1;-0.31;
3057;43.0596;1.0133;B1;H1;-0.42;
3058;43.0607;1.1113;B1;H1;-0.43;
3059;43.0618;1.2093;B1;H1;-0.43;
3060;43.0628;1.3074;B1;H1;-0.43;
3061;43.0637;1.4054;B1;H1;-0.43;
3062;43.0645;1.5034;B1;H1;-0.22;
3063;43.0652;1.6014;B1;H1;-0.22;
3064;43.0659;1.6994;B1;H1;-0.22;
3065;43.0664;1.7974;B1;H1;-0.46;
3066;43.0668;1.8955;B1;H1;-0.46;
3067;43.0672;1.9935;B1;H1;-0.46;
3068;43.0675;2.0915;B1;H1;-0.46;
3069;43.0677;2.1895;B1;H1;-0.46;
3070;43.0677;2.2876;B1;H1;-0.46;
3071;43.0677;2.3856;B1;H1;-0.46;
3072;43.0677;2.4836;B1;H1;-0.98;
3073;43.0675;2.5816;B1;H1;-0.98;
3074;43.0672;2.6797;B1;H1;-0.98;
3075;43.0669;2.7777;B1;H1;-0.95;
3076;43.0664;2.8757;B1;H1;-0.95;
3077;43.0659;2.9737;B1;H1;-0.96;
3078;43.0652;3.0718;B1;H1;-0.96;
3142;42.8392;9.327;B1;H1;-0.18;
3143;42.8327;9.4242;B1;H1;-0.17;
3175;43.0731;-1.4392;B1;H1;-0.48;
3176;43.0765;-1.3413;B1;H1;-0.48;
3177;43.0799;-1.2434;B1;H1;-0.48;
3178;43.0831;-1.1454;B1;H1;-0.48;
3179;43.0862;-1.0475;B1;H1;-0.49;
3180;43.0893;-0.9495;B1;H1;-0.48;
3181;43.0922;-0.8515;B1;H1;-0.56;
3182;43.0951;-0.7535;B1;H1;-0.56;
3183;43.0979;-0.6555;B1;H1;-0.26;
3184;43.1006;-0.5575;B1;H1;-0.37;
3185;43.1032;-0.4595;B1;H1;-0.26;
3186;43.1057;-0.3615;B1;H1;-0.26;
3187;43.1081;-0.2634;B1;H1;-0.26;
3188;43.1104;-0.1654;B1;H1;-0.26;
3189;43.1127;-0.0673;B1;H1;-0.41;
3190;43.1148;0.0307;B1;H1;-0.41;
3191;43.1169;0.1288;B1;H1;-0.41;
3192;43.1189;0.2269;B1;H1;-0.41;
3193;43.1208;0.325;B1;H1;-0.34;
3194;43.1226;0.4231;B1;H1;-0.34;
3195;43.1243;0.5211;B1;H1;-0.34;
3196;43.1259;0.6192;B1;H1;-0.34;
3197;43.1274;0.7173;B1;H1;-0.31;
3198;43.1288;0.8155;B1;H1;-0.31;
3199;43.1302;0.9136;B1;H1;-0.31;
3200;43.1314;1.0117;B1;H1;-0.31;
3201;43.1326;1.1098;B1;H1;-0.42;
3202;43.1337;1.2079;B1;H1;-0.31;
3203;43.1347;1.3061;B1;H1;-0.22;
3204;43.1356;1.4042;B1;H1;-0.22;
3205;43.1364;1.5023;B1;H1;-0.22;
3206;43.1371;1.6005;B1;H1;-0.22;
3207;43.1377;1.6986;B1;H1;-0.22;
3208;43.1383;1.7968;B1;H1;-0.46;
3209;43.1387;1.8949;B1;H1;-0.46;
3210;43.1391;1.9931;B1;H1;-0.46;
3211;43.1393;2.0912;B1;H1;-0.46;
3212;43.1395;2.1894;B1;H1;-0.46;
3213;43.1396;2.2875;B1;H1;-0.46;
3214;43.1396;2.3857;B1;H1;-0.46;
3215;43.1395;2.4838;B1;H1;-0.46;
3216;43.1394;2.5819;B1;H1;-0.98;
3217;43.1391;2.6801;B1;H1;-0.98;
3218;43.1387;2.7782;B1;H1;-0.98;
3219;43.1383;2.8764;B1;H1;-0.96;
3220;43.1377;2.9745;B1;H1;-0.96;
3221;43.1371;3.0727;B1;H1;-0.96;
3249;43.0831;5.8186;B1;H1;-0.45;
3251;43.0766;6.0145;B1;H1;-0.44;
3252;43.0732;6.1124;B1;H1;-0.44;
3285;42.9107;9.3357;B1;H1;-0.17;
3286;42.9043;9.433;B1;H1;-0.17;
3319;43.1483;-1.3459;B1;H1;-0.48;
3320;43.1517;-1.2479;B1;H1;-0.49;
3321;43.1549;-1.1498;B1;H1;-0.56;
3322;43.158;-1.0517;B1;H1;-0.48;
3323;43.1611;-0.9536;B1;H1;-0.56;
3324;43.164;-0.8555;B1;H1;-0.56;
3325;43.1669;-0.7574;B1;H1;-0.56;
3326;43.1697;-0.6593;B1;H1;-0.25;
3327;43.1724;-0.5611;B1;H1;-0.25;
3328;43.175;-0.463;B1;H1;-0.25;
3329;43.1775;-0.3648;B1;H1;-0.25;
3330;43.1799;-0.2667;B1;H1;-0.25;
3331;43.1823;-0.1685;B1;H1;-0.25;
3332;43.1845;-0.0703;B1;H1;-0.2;
3333;43.1867;0.0279;B1;H1;-0.42;
3334;43.1888;0.126;B1;H1;-0.41;
3335;43.1907;0.2242;B1;H1;-0.16;
3336;43.1926;0.3224;B1;H1;-0.34;
3337;43.1944;0.4207;B1;H1;-0.34;
3338;43.1961;0.5189;B1;H1;-0.34;
3339;43.1977;0.6171;B1;H1;-0.16;
3340;43.1993;0.7153;B1;H1;-0.31;
3341;43.2007;0.8136;B1;H1;-0.31;
3342;43.2021;0.9118;B1;H1;-0.31;
3343;43.2033;1.01;B1;H1;-0.31;
