#-----------------------------------------------------------------------------
# Date d'extraction : 01/09/2021 - 16h06 loc.
#-----------------------------------------------------------------------------
# Producteur : DCLIM
# Experience : CLIMSEC
# Modele     : ARPEGE_RETIC
# Scenario :
#     A2 : scenario pessimiste
#-----------------------------------------------------------------------------
# Horizons :
#     H1 : Horizon proche
#     H2 : Horizon moyen
#     H3 : Horizon lointain
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     NORSPI : Indicateur s�cheresse m�t�orologique
#-----------------------------------------------------------------------------
# Format des enregistrements 
Point;Latitude;Longitude;Contexte;P�riode;NORSPI;
2712;42.6308;9.2042;A2;H1;-0.48;
2713;42.6245;9.3011;A2;H1;-0.48;
2714;42.6181;9.398;A2;H1;-0.59;
2754;42.8824;-0.6444;A2;H1;-0.63;
2755;42.8851;-0.5467;A2;H1;-0.62;
2756;42.8877;-0.4491;A2;H1;-0.63;
2757;42.8902;-0.3514;A2;H1;-0.62;
2758;42.8926;-0.2537;A2;H1;-0.56;
2759;42.895;-0.156;A2;H1;-0.73;
2760;42.8972;-0.0584;A2;H1;-0.72;
2761;42.8993;0.0393;A2;H1;-0.73;
2762;42.9014;0.137;A2;H1;-0.73;
2763;42.9034;0.2348;A2;H1;-0.73;
2764;42.9052;0.3325;A2;H1;-0.47;
2765;42.907;0.4302;A2;H1;-0.49;
2766;42.9087;0.5279;A2;H1;-0.47;
2767;42.9103;0.6257;A2;H1;-0.75;
2768;42.9118;0.7234;A2;H1;-0.82;
2769;42.9133;0.8211;A2;H1;-0.82;
2770;42.9146;0.9189;A2;H1;-0.8;
2771;42.9159;1.0166;A2;H1;-0.8;
2772;42.917;1.1144;A2;H1;-0.8;
2773;42.9181;1.2122;A2;H1;-0.8;
2774;42.9191;1.3099;A2;H1;-0.8;
2775;42.92;1.4077;A2;H1;-0.8;
2776;42.9208;1.5055;A2;H1;-0.82;
2777;42.9215;1.6032;A2;H1;-0.83;
2778;42.9221;1.701;A2;H1;-0.83;
2779;42.9227;1.7988;A2;H1;-0.79;
2780;42.9231;1.8966;A2;H1;-0.79;
2781;42.9235;1.9943;A2;H1;-0.69;
2782;42.9237;2.0921;A2;H1;-0.69;
2783;42.9239;2.1899;A2;H1;-0.69;
2784;42.924;2.2877;A2;H1;-0.69;
2785;42.924;2.3855;A2;H1;-0.69;
2786;42.9239;2.4833;A2;H1;-0.87;
2787;42.9237;2.581;A2;H1;-0.8;
2788;42.9235;2.6788;A2;H1;-0.88;
2789;42.9231;2.7766;A2;H1;-1.12;
2790;42.9227;2.8744;A2;H1;-1.12;
2791;42.9221;2.9722;A2;H1;-1.13;
2854;42.7086;9.1156;A2;H1;-0.24;
2855;42.7023;9.2127;A2;H1;-0.48;
2856;42.696;9.3097;A2;H1;-0.48;
2857;42.6896;9.4067;A2;H1;-0.59;
2895;42.9486;-0.8436;A2;H1;-0.69;
2896;42.9515;-0.7458;A2;H1;-0.69;
2897;42.9543;-0.6481;A2;H1;-0.61;
2898;42.9569;-0.5503;A2;H1;-0.61;
2899;42.9595;-0.4525;A2;H1;-0.61;
2900;42.962;-0.3547;A2;H1;-0.62;
2901;42.9645;-0.2569;A2;H1;-0.72;
2902;42.9668;-0.1591;A2;H1;-0.73;
2903;42.969;-0.0613;A2;H1;-0.72;
2904;42.9712;0.0365;A2;H1;-0.72;
2905;42.9732;0.1343;A2;H1;-0.72;
2906;42.9752;0.2321;A2;H1;-0.73;
2907;42.9771;0.33;A2;H1;-0.79;
2908;42.9789;0.4278;A2;H1;-0.6;
2909;42.9806;0.5257;A2;H1;-0.59;
2910;42.9822;0.6235;A2;H1;-0.61;
2911;42.9837;0.7214;A2;H1;-0.75;
2912;42.9851;0.8192;A2;H1;-0.81;
2913;42.9865;0.9171;A2;H1;-0.81;
2914;42.9877;1.015;A2;H1;-0.81;
2915;42.9889;1.1129;A2;H1;-0.81;
2916;42.99;1.2108;A2;H1;-0.81;
2917;42.9909;1.3086;A2;H1;-0.81;
2918;42.9918;1.4065;A2;H1;-0.81;
2919;42.9927;1.5044;A2;H1;-0.83;
2920;42.9934;1.6023;A2;H1;-0.83;
2921;42.994;1.7002;A2;H1;-0.83;
2922;42.9945;1.7981;A2;H1;-0.78;
2923;42.995;1.896;A2;H1;-0.78;
2924;42.9953;1.9939;A2;H1;-0.69;
2925;42.9956;2.0918;A2;H1;-0.69;
2926;42.9958;2.1897;A2;H1;-0.69;
2927;42.9959;2.2876;A2;H1;-0.69;
2928;42.9959;2.3855;A2;H1;-0.69;
2929;42.9958;2.4834;A2;H1;-0.8;
2930;42.9956;2.5813;A2;H1;-0.87;
2931;42.9953;2.6792;A2;H1;-0.84;
2932;42.995;2.7771;A2;H1;-1.12;
2933;42.9945;2.875;A2;H1;-1.12;
2934;42.994;2.9729;A2;H1;-1.13;
2999;42.7676;9.3183;A2;H1;-0.48;
3000;42.7612;9.4155;A2;H1;-0.59;
3033;43.0047;-1.3367;A2;H1;-0.69;
3036;43.0144;-1.0433;A2;H1;-0.69;
3037;43.0175;-0.9454;A2;H1;-0.69;
3038;43.0204;-0.8475;A2;H1;-0.69;
3039;43.0233;-0.7497;A2;H1;-0.69;
3040;43.0261;-0.6518;A2;H1;-0.61;
3041;43.0288;-0.5539;A2;H1;-0.61;
3042;43.0313;-0.456;A2;H1;-0.61;
3043;43.0339;-0.3581;A2;H1;-0.61;
3044;43.0363;-0.2602;A2;H1;-0.66;
3045;43.0386;-0.1623;A2;H1;-0.73;
3046;43.0408;-0.0643;A2;H1;-0.77;
3047;43.043;0.0336;A2;H1;-0.78;
3048;43.0451;0.1316;A2;H1;-0.78;
3049;43.047;0.2295;A2;H1;-0.77;
3050;43.0489;0.3275;A2;H1;-0.77;
3051;43.0507;0.4254;A2;H1;-0.61;
3052;43.0524;0.5234;A2;H1;-0.61;
3053;43.054;0.6214;A2;H1;-0.74;
3054;43.0555;0.7194;A2;H1;-0.73;
3055;43.057;0.8174;A2;H1;-0.73;
3056;43.0583;0.9153;A2;H1;-0.73;
3057;43.0596;1.0133;A2;H1;-0.8;
3058;43.0607;1.1113;A2;H1;-0.81;
3059;43.0618;1.2093;A2;H1;-0.81;
3060;43.0628;1.3074;A2;H1;-0.81;
3061;43.0637;1.4054;A2;H1;-0.8;
3062;43.0645;1.5034;A2;H1;-0.67;
3063;43.0652;1.6014;A2;H1;-0.67;
3064;43.0659;1.6994;A2;H1;-0.66;
3065;43.0664;1.7974;A2;H1;-0.78;
3066;43.0668;1.8955;A2;H1;-0.78;
3067;43.0672;1.9935;A2;H1;-0.59;
3068;43.0675;2.0915;A2;H1;-0.62;
3069;43.0677;2.1895;A2;H1;-0.59;
3070;43.0677;2.2876;A2;H1;-0.61;
3071;43.0677;2.3856;A2;H1;-0.57;
3072;43.0677;2.4836;A2;H1;-0.93;
