Point;Latitude;Longitude;Contexte;P�riode;NORSPI;
2930;42.9956;2.5813;A1B;H1;-0.55;
2931;42.9953;2.6792;A1B;H1;-0.55;
2932;42.995;2.7771;A1B;H1;-0.51;
2933;42.9945;2.875;A1B;H1;-0.51;
2934;42.994;2.9729;A1B;H1;-0.52;
2999;42.7676;9.3183;A1B;H1;-0.36;
3000;42.7612;9.4155;A1B;H1;-0.62;
3033;43.0047;-1.3367;A1B;H1;-0.75;
3036;43.0144;-1.0433;A1B;H1;-0.74;
3037;43.0175;-0.9454;A1B;H1;-0.75;
3038;43.0204;-0.8475;A1B;H1;-0.75;
3039;43.0233;-0.7497;A1B;H1;-0.75;
3040;43.0261;-0.6518;A1B;H1;-0.63;
3041;43.0288;-0.5539;A1B;H1;-0.62;
3042;43.0313;-0.456;A1B;H1;-0.63;
3043;43.0339;-0.3581;A1B;H1;-0.62;
3044;43.0363;-0.2602;A1B;H1;-0.67;
3045;43.0386;-0.1623;A1B;H1;-0.49;
3046;43.0408;-0.0643;A1B;H1;-0.61;
3047;43.043;0.0336;A1B;H1;-0.61;
3048;43.0451;0.1316;A1B;H1;-0.61;
3049;43.047;0.2295;A1B;H1;-0.61;
3050;43.0489;0.3275;A1B;H1;-0.61;
3051;43.0507;0.4254;A1B;H1;-0.44;
3052;43.0524;0.5234;A1B;H1;-0.44;
3053;43.054;0.6214;A1B;H1;-0.54;
3054;43.0555;0.7194;A1B;H1;-0.53;
3055;43.057;0.8174;A1B;H1;-0.53;
3056;43.0583;0.9153;A1B;H1;-0.53;
3057;43.0596;1.0133;A1B;H1;-0.58;
3058;43.0607;1.1113;A1B;H1;-0.59;
3059;43.0618;1.2093;A1B;H1;-0.59;
3060;43.0628;1.3074;A1B;H1;-0.59;
3061;43.0637;1.4054;A1B;H1;-0.59;
3062;43.0645;1.5034;A1B;H1;-0.31;
3063;43.0652;1.6014;A1B;H1;-0.31;
3064;43.0659;1.6994;A1B;H1;-0.3;
3065;43.0664;1.7974;A1B;H1;-0.47;
3066;43.0668;1.8955;A1B;H1;-0.47;
3067;43.0672;1.9935;A1B;H1;-0.32;
3068;43.0675;2.0915;A1B;H1;-0.32;
3069;43.0677;2.1895;A1B;H1;-0.32;
3070;43.0677;2.2876;A1B;H1;-0.32;
3071;43.0677;2.3856;A1B;H1;-0.32;
3072;43.0677;2.4836;A1B;H1;-0.7;
3073;43.0675;2.5816;A1B;H1;-0.7;
3074;43.0672;2.6797;A1B;H1;-0.7;
3075;43.0669;2.7777;A1B;H1;-0.51;
3076;43.0664;2.8757;A1B;H1;-0.51;
3077;43.0659;2.9737;A1B;H1;-0.52;
3078;43.0652;3.0718;A1B;H1;-0.52;
3142;42.8392;9.327;A1B;H1;-0.36;
3143;42.8327;9.4242;A1B;H1;-0.62;
3175;43.0731;-1.4392;A1B;H1;-0.75;
3176;43.0765;-1.3413;A1B;H1;-0.75;
3177;43.0799;-1.2434;A1B;H1;-0.75;
3178;43.0831;-1.1454;A1B;H1;-0.75;
3179;43.0862;-1.0475;A1B;H1;-0.75;
3180;43.0893;-0.9495;A1B;H1;-0.75;
3181;43.0922;-0.8515;A1B;H1;-0.81;
3182;43.0951;-0.7535;A1B;H1;-0.81;
3183;43.0979;-0.6555;A1B;H1;-0.66;
3184;43.1006;-0.5575;A1B;H1;-0.63;
3185;43.1032;-0.4595;A1B;H1;-0.67;
3186;43.1057;-0.3615;A1B;H1;-0.67;
3187;43.1081;-0.2634;A1B;H1;-0.66;
3188;43.1104;-0.1654;A1B;H1;-0.66;
3189;43.1127;-0.0673;A1B;H1;-0.61;
3190;43.1148;0.0307;A1B;H1;-0.61;
3191;43.1169;0.1288;A1B;H1;-0.61;
3192;43.1189;0.2269;A1B;H1;-0.61;
3193;43.1208;0.325;A1B;H1;-0.5;
3194;43.1226;0.4231;A1B;H1;-0.5;
3195;43.1243;0.5211;A1B;H1;-0.5;
3196;43.1259;0.6192;A1B;H1;-0.5;
3197;43.1274;0.7173;A1B;H1;-0.53;
3198;43.1288;0.8155;A1B;H1;-0.53;
3199;43.1302;0.9136;A1B;H1;-0.53;
3200;43.1314;1.0117;A1B;H1;-0.53;
3201;43.1326;1.1098;A1B;H1;-0.58;
3202;43.1337;1.2079;A1B;H1;-0.53;
3203;43.1347;1.3061;A1B;H1;-0.3;
3204;43.1356;1.4042;A1B;H1;-0.3;
3205;43.1364;1.5023;A1B;H1;-0.3;
3206;43.1371;1.6005;A1B;H1;-0.3;
3207;43.1377;1.6986;A1B;H1;-0.3;
3208;43.1383;1.7968;A1B;H1;-0.32;
3209;43.1387;1.8949;A1B;H1;-0.32;
3210;43.1391;1.9931;A1B;H1;-0.32;
3211;43.1393;2.0912;A1B;H1;-0.32;
3212;43.1395;2.1894;A1B;H1;-0.32;
3213;43.1396;2.2875;A1B;H1;-0.32;
3214;43.1396;2.3857;A1B;H1;-0.32;
3215;43.1395;2.4838;A1B;H1;-0.32;
3216;43.1394;2.5819;A1B;H1;-0.7;
3217;43.1391;2.6801;A1B;H1;-0.7;
3218;43.1387;2.7782;A1B;H1;-0.7;
3219;43.1383;2.8764;A1B;H1;-0.52;
3220;43.1377;2.9745;A1B;H1;-0.52;
3221;43.1371;3.0727;A1B;H1;-0.52;
3249;43.0831;5.8186;A1B;H1;-0.51;
3251;43.0766;6.0145;A1B;H1;-0.83;
3252;43.0732;6.1124;A1B;H1;-0.83;
3285;42.9107;9.3357;A1B;H1;-0.62;
3286;42.9043;9.433;A1B;H1;-0.63;
